project_name,stars_count,Language,Domain,commits_count_total,commits_count_max,commits_count_avg,contributors_count_max,minor_count_max,contributors_count_avg,minor_count_avg,created year
GitHub - maxi-booking/d8base-frontend: The PWA and mobile applications for the d8base project,6,TypeScript,ios,2030,824,7,5,5,1,0,2019
GitHub - KeyboardKit/KeyboardKit: KeyboardKit is a Swift library that helps you create custom keyboard extensions for iOS and ipadOS.,627,Swift,ios,1550,548,7,3,3,1,0,2016
GitHub - GetStream/stream-chat-swiftui: Official SwiftUI SDK for Stream Chat.,6,Swift,ios,96,35,1,1,1,1,0,2021
GitHub - box/mojito: An automation platform that enables continuous localization.,301,Java,ios,1026,157,2,6,10,1,0,2016
GitHub - Azure/azure-sdk-for-ios: iOS client SDKs for Microsoft Azure,112,Swift,ios,838,258,6,6,7,1,0,2018
GitHub - KOKENY97/Cahue-BlastOff: Repositório para subir exemplos e exercícios.,0,Swift,ios,81,35,2,1,0,1,0,2021
GitHub - microsoft/AdaptiveCards: A new way for developers to exchange card content in a common and consistent way.,1100,C++,ios,3350,5681,4,7,29,1,0,2016
GitHub - globules-io/OGX.JS: OGX.JS Javascript Framework for Mobile & Desktop (Webview) & Progressive Web Applications,9,JavaScript,ios,1748,357,12,2,1,1,0,2016
"GitHub - UNIDY2002/THUInfo: An APP aimed at integrating various sources of campus information, developed with React Native ⚛️",57,TypeScript,ios,1348,771,8,3,2,1,0,2020
"GitHub - getsentry/sentry-cocoa: The official Sentry SDK for iOS, tvOS, macOS, watchOS.",458,Objective-C,ios,1920,598,6,6,18,1,0,2016
"GitHub - Oztechan/CCC: Currency Converter Calculator for Android, iOS and Backend with power of Kotlin Multiplatform",146,Kotlin,ios,2010,564,12,2,1,1,0,2017
"GitHub - AnaBerigo/Cooking_Home-App-Recipes: Aplicativo desenvolvido em React Native, com intuito de mostrar receitas e filtrar ingredientes. Utilizando a ferramenta Expo.",0,JavaScript,ios,10,4,1,2,0,1,0,2021
GitHub - SAP-samples/cloud-sdk-ios-specs: Dependency Manager specs repository for SAP BTP SDK for iOS.,10,Ruby,ios,225,37,2,3,3,1,0,2019
GitHub - xsscx/srd: Welcome to Hoyt's SRD Repo for the Apple Security Research Device. Contribute Code or Open Issues. Follow @srdcohort on Twitter,18,Assembly,ios,992,149,2,1,0,1,0,2021
