project_name,stars_count,Language,Domain,commits_count_total,commits_count_max,commits_count_avg,contributors_count_max,minor_count_max,contributors_count_avg,minor_count_avg,created year
"GitHub - zxing/zxing: ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",28700,Java,android,3622,2654,4,7,17,1,0,2011
GitHub - zoozooll/3DModel_Tvbox_Manual: android a opengl pro,1,Java,android,2,1,1,1,0,1,0,2012
GitHub - zeusbaba/generic-store-for-android: Generic Store & Cache for Android,23,Java,android,42,18,2,2,1,1,0,2010
GitHub - ZenIsBestWolf/iDevice-Assets: iDevice Asset Repository,1,Markdown,ios,6,3,1,1,0,1,0,2019
GitHub - yurenju/PrismFlipper: Animation transition demo on Android,2,Java,android,5,2,1,1,0,1,0,2011
GitHub - yujin1292/HeungR: 허밍을 악보(Midi File)로 만들어주는 어플리케이션,0,Java,android,146,58,3,3,1,1,0,2020
GitHub - ykiZheng/Android-2021-Summer: 2021年短学期安卓应用开发实训作业仓库,0,Java,android,11,2,1,2,0,1,0,2021
GitHub - yep/DeviceSync-for-OS-X: Calendar synchronization between iOS and OS X using USB,12,Objective-C,ios,18,5,1,1,0,1,0,2013
GitHub - xsscx/srd: Welcome to Hoyt's SRD Repo for the Apple Security Research Device. Contribute Code or Open Issues. Follow @srdcohort on Twitter,18,Assembly,ios,992,149,2,1,0,1,0,2021
GitHub - wszlosek/UJ-Android,0,Kotlin,android,50,191,2,1,0,1,0,2021
GitHub - wix/react-native-calendars: React Native Calendar Components 🗓️ 📆,7300,TypeScript,ios,1808,175,10,6,44,1,1,2016
GitHub - werediver/MjpegStream-iOS: Motion-JPEG over HTTP support code for iOS (using ARC).,2,Objective-C,ios,12,13,2,2,1,1,0,2013
GitHub - wallabag/android-app: Android application to read your articles saved in your wallabag. You can also easily add new articles.,361,Java,android,2061,217,7,7,24,1,0,2014
GitHub - vspiewak/gdx-game: Sample game for Android/iOS/Desktop/HTML5 using libgdx,1,Java,android,7,2,1,1,0,1,0,2013
GitHub - vspiewak/gdx-game: Sample game for Android/iOS/Desktop/HTML5 using libgdx,1,Java,ios,7,2,1,1,0,1,0,2013
GitHub - unoplatform/Uno.Themes: This library is designed to help you use the material design system with the Uno Platform,86,C#,android,925,120,4,7,10,2,0,2020
"GitHub - UNIDY2002/THUInfo: An APP aimed at integrating various sources of campus information, developed with React Native ⚛️",57,TypeScript,ios,1348,771,8,3,2,1,0,2020
GitHub - umer936/XposedMods: Modifications using the Xposed framework,1,Java,android,45,31,2,3,2,1,0,2014
GitHub - umer936/device_htc_evita: Device config for the AT&T/Rogers HTC One X / evita,0,Markdown,android,9,6,1,3,1,1,0,2013
GitHub - ultralytics/yolov5: YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,19400,Python,ios,1663,324,21,3,40,1,2,2020
GitHub - ultralytics/yolov3: YOLOv3 in PyTorch > ONNX > CoreML > TFLite,8100,Python,ios,2631,789,19,2,15,1,0,2018
GitHub - ulmerkott/matdatabasen: Androidapp för att enkelt söka i Finelis databas.,0,Java,android,21,8,1,1,0,1,0,2016
GitHub - uber/NullAway: A tool to help eliminate NullPointerExceptions (NPEs) in your Java code with low build-time overhead,3000,Java,android,417,119,6,6,8,1,0,2017
